Player,AV,Age,Pos,-9999
Vance McDonald,5,28,TE,McDoVa00
Vance McDonald,2,29,TE,McDoVa00
Vance McDonald,1,30,TE,McDoVa00
Sean McHugh,2,25,TE,McHuSe00
Randy McMichael,6,23,TE,McMiRa01
Randy McMichael,6,24,TE,McMiRa01
Randy McMichael,6,25,TE,McMiRa01
Randy McMichael,5,26,TE,McMiRa01
Randy McMichael,5,27,TE,McMiRa01
Randy McMichael,3,28,TE,McMiRa01
Randy McMichael,2,30,TE,McMiRa01
Randy McMichael,2,31,TE,McMiRa01
Randy McMichael,3,32,TE,McMiRa01
Heath Miller,5,23,TE,MillHe00
Heath Miller,3,24,TE,MillHe00
Heath Miller,6,25,TE,MillHe00
Heath Miller,5,26,TE,MillHe00
Heath Miller,7,27,TE,MillHe00
Heath Miller,5,28,TE,MillHe00
Heath Miller,5,29,TE,MillHe00
Heath Miller,6,30,TE,MillHe00
Heath Miller,5,31,TE,MillHe00
Heath Miller,7,32,TE,MillHe00
Heath Miller,4,33,TE,MillHe00
Zach Miller,4,22,TE,MillZa01
Zach Miller,6,23,TE,MillZa01
Zach Miller,5,24,TE,MillZa01
Zach Miller,6,25,TE,MillZa01
Zach Miller,2,26,TE,MillZa01
Zach Miller,4,27,TE,MillZa01
Zach Miller,4,28,TE,MillZa01
Zach Miller,2,25,TE,MillZa02
Zach Miller,2,26,TE,MillZa02
Zach Miller,4,31,TE,MillZa02
Zach Miller,3,32,TE,MillZa02
Zach Miller,2,33,TE,MillZa02
Tony Moeaki,6,23,TE,MoeaTo00
Tony Moeaki,3,25,TE,MoeaTo00
David Morgan,1,24,TE,MorgDa01
Cameron Morrah,1,23,TE,MorrCa00
Cameron Morrah,1,24,TE,MorrCa00
Brandon Myers,1,25,TE,MyerBr00
Brandon Myers,1,26,TE,MyerBr00
Brandon Myers,6,27,TE,MyerBr00
Brandon Myers,3,28,TE,MyerBr00
Brandon Myers,1,29,TE,MyerBr00
Brandon Myers,1,30,TE,MyerBr00
Shawn Nelson,1,24,TE,NelsSh00
Troy Niklas,1,25,TE,NiklTr00
Nick O'Leary,3,25,TE,OLeaNi00
Nick O'Leary,1,26,TE,OLeaNi00
Nick O'Leary,1,27,TE,OLeaNi00
James O'Shaughnessy,1,25,TE,O'ShJa00
James O'Shaughnessy,1,26,TE,O'ShJa00
James O'Shaughnessy,2,28,TE,O'ShJa00
Greg Olsen,3,22,TE,OlseGr00
Greg Olsen,5,23,TE,OlseGr00
Greg Olsen,5,24,TE,OlseGr00
Greg Olsen,4,25,TE,OlseGr00
Greg Olsen,5,26,TE,OlseGr00
Greg Olsen,7,27,TE,OlseGr00
Greg Olsen,8,28,TE,OlseGr00
Greg Olsen,8,29,TE,OlseGr00
Greg Olsen,13,30,TE,OlseGr00
Greg Olsen,8,31,TE,OlseGr00
Greg Olsen,3,33,TE,OlseGr00
Greg Olsen,4,34,TE,OlseGr00
Greg Olsen,2,35,TE,OlseGr00
Bear Pascoe,1,24,TE,PascBe00
Bear Pascoe,1,25,TE,PascBe00
Bear Pascoe,1,27,TE,PascBe00
Ben Patrick,1,23,TE,PatrBe00
Ben Patrick,1,24,TE,PatrBe00
Ben Patrick,1,25,TE,PatrBe00
Ben Patrick,1,26,TE,PatrBe00
Niles Paul,3,25,TE,PaulNi00
Niles Paul,1,28,TE,PaulNi00
David Paulson,1,24,TE,PaulDa01
Justin Peelle,1,24,TE,PeelJu00
Justin Peelle,1,25,TE,PeelJu00
Justin Peelle,1,27,TE,PeelJu00
Justin Peelle,2,28,TE,PeelJu00
Justin Peelle,2,29,TE,PeelJu00
Justin Peelle,1,30,TE,PeelJu00
Justin Peelle,1,31,TE,PeelJu00
Brandon Pettigrew,2,24,TE,PettBr00
Brandon Pettigrew,6,25,TE,PettBr00
Brandon Pettigrew,7,26,TE,PettBr00
Brandon Pettigrew,4,27,TE,PettBr00
Brandon Pettigrew,3,28,TE,PettBr00
Brandon Pettigrew,1,29,TE,PettBr00
Brandon Pettigrew,1,30,TE,PettBr00
John Phillips,1,22,TE,PhilJo00
John Phillips,1,24,TE,PhilJo00
Dennis Pitta,4,26,TE,PittDe00
Dennis Pitta,6,27,TE,PittDe00
Dennis Pitta,5,31,TE,PittDe00
Leonard Pope,1,23,TE,PopeLe00
Leonard Pope,2,24,TE,PopeLe00
Leonard Pope,1,25,TE,PopeLe00
Leonard Pope,1,26,TE,PopeLe00
Leonard Pope,1,27,TE,PopeLe00
Leonard Pope,1,28,TE,PopeLe00
Jeb Putzier,5,25,TE,PutzJe00
Jeb Putzier,6,26,TE,PutzJe00
Jeb Putzier,1,27,TE,PutzJe00
Andrew Quarless,2,22,TE,QuarAn00
Andrew Quarless,3,25,TE,QuarAn00
Andrew Quarless,4,26,TE,QuarAn00
Jordan Reed,3,23,TE,ReedJo02
Jordan Reed,3,24,TE,ReedJo02
Jordan Reed,8,25,TE,ReedJo02
Jordan Reed,6,26,TE,ReedJo02
Jordan Reed,4,28,TE,ReedJo02
Jordan Reed,2,30,TE,ReedJo02
Mychal Rivera,3,23,TE,RiveMy00
Mychal Rivera,4,24,TE,RiveMy00
Mychal Rivera,2,25,TE,RiveMy00
Mychal Rivera,2,26,TE,RiveMy00
Michael Roberts,1,24,TE,RobeMi01
Richard Rodgers,3,22,TE,RodgRi00
Richard Rodgers,5,23,TE,RodgRi00
Richard Rodgers,3,24,TE,RodgRi00
Richard Rodgers,1,25,TE,RodgRi00
Richard Rodgers,3,28,TE,RodgRi00
Dante Rosario,1,23,TE,RosaDa00
Dante Rosario,2,24,TE,RosaDa00
