Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Andrew Quarless,N/A,N/A,2,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan Reed,N/A,N/A,N/A,3,3,8,6,N/A,4,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mychal Rivera,N/A,N/A,N/A,3,4,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Roberts,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Richard Rodgers,N/A,N/A,3,5,3,1,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dante Rosario,N/A,N/A,N/A,1,2,3,1,1,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Royal,N/A,N/A,N/A,N/A,N/A,1,1,2,2,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Rudolph,N/A,N/A,2,6,3,2,5,7,5,5,4,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sean Ryan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darnell Sanders,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bo Scaife,N/A,N/A,N/A,N/A,2,4,4,5,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Scheffler,N/A,N/A,N/A,3,5,6,3,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Schobel,N/A,N/A,N/A,N/A,2,3,2,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek Schouman,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Austin Seferian-Jenkins,N/A,N/A,2,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Seidman,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Shaheen,N/A,N/A,N/A,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Visanthe Shiancoe,N/A,N/A,N/A,N/A,N/A,1,1,3,6,6,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy Shockey,N/A,N/A,8,3,6,10,7,6,5,6,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dion Sims,N/A,N/A,N/A,3,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Smith,N/A,N/A,N/A,3,2,4,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L.J. Smith,N/A,N/A,N/A,4,4,5,5,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lee Smith,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,1,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
Matt Spaeth,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy Sprinkle,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jace Sternberger,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Craig Stevens,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerramy Stevens,N/A,N/A,N/A,2,1,3,6,2,2,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luke Stocker,N/A,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quinn Sypniewski,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacob Tamme,N/A,N/A,N/A,N/A,N/A,6,1,5,2,1,6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Thomas,N/A,N/A,N/A,2,N/A,1,4,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julius Thomas,N/A,N/A,N/A,N/A,N/A,8,5,4,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Levine Toilolo,N/A,N/A,N/A,2,N/A,3,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Troupe,N/A,N/A,3,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clive Walford,N/A,N/A,N/A,N/A,3,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aaron Walker,N/A,N/A,N/A,1,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delanie Walker,N/A,N/A,N/A,1,N/A,N/A,3,N/A,N/A,5,6,8,7,7,N/A,N/A,N/A,N/A,N/A,N/A
Ben Watson,N/A,N/A,N/A,N/A,N/A,4,7,5,2,4,5,2,3,2,1,7,N/A,5,4,1
Ernest Wilford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D.J. Williams,N/A,N/A,N/A,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maxx Williams,N/A,2,N/A,1,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luke Willson,N/A,N/A,N/A,3,4,2,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kris Wilson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kellen Winslow,N/A,N/A,N/A,6,11,3,6,7,6,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Witten,N/A,2,8,7,8,12,8,9,9,8,8,8,7,4,7,6,N/A,4,1,N/A
George Wrighster,N/A,N/A,1,N/A,1,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
