Felix Jones,N/A,5,9,6,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Jones,N/A,N/A,1,5,N/A,2,1,0,1,0,0,0,N/A,N/A,N/A,N/A,N/A
Julius Jones,N/A,N/A,6,8,10,7,5,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Jones,N/A,9,5,9,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Jones,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ronald Jones II,0,7,8,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maurice Jones-Drew,13,13,10,13,14,14,N/A,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deji Karim,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Karney,N/A,N/A,0,0,1,1,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lance Kendricks,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eddie Lacy,N/A,N/A,10,16,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy Langford,N/A,N/A,N/A,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spencer Larsen,N/A,N/A,N/A,N/A,N/A,1,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Leonard,N/A,N/A,3,N/A,2,1,2,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mikel Leshoure,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dion Lewis,1,1,N/A,N/A,N/A,N/A,12,6,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T.J. Logan,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erik Lorig,N/A,N/A,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wali Lundy,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marshawn Lynch,7,9,4,6,9,15,13,13,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A
Owen Marecic,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
